188839284,Estelle Du,Canada,1998-12-31,2018
189322411,Phyllis Tipton,Canada,1999-01-15,2018
189951176,Evelina Aiken,Amercia,1999-01-22,2018
190166741,Kimmy Clemens,Amercia,1999-02-27,2019
191050279,Tisha Hewitt,Canada,1999-03-15,2019
191892351,Zelma Baldwin,Canada,1999-06-12,2019
192982444,Cal Marsden,Canada,1999-12-01,2019
193962851,Tori Platt,Canada,1999-12-31,2019
196385629,Prue Botwright,Canada,2000-03-01,2019
197895559,Lynnette Charron,Canada,2000-04-16,2019
197985578,Monroe Porter,Canada,2000-04-22,2019
198217283,Colette Leve,Canada,2000-05-07,2019
199573531,Lori Ghasabyan,Amercia,2000-05-25,2019
201091891,Gus Barrett,Russia,2000-06-02,2020
201245988,Luc Reed,France,2000-06-03,2020
203556348,Ina Sauvageau,Canada,2000-06-17,2020
203920956,Daryl Weaver,Canada,2000-06-25,2020
204470195,Maverick Goodwin,Canada,2000-07-06,2020
205474050,Marie Jeanes,Canada,2000-09-15,2020
206269496,Modeste Macy,France,2001-01-23,2020
206282400,Quincy William,Canada,2001-04-05,2020
207137970,Domenic Clifton,Canada,2001-04-26,2020
207711315,Gregory Cot,Amercia,2001-06-02,2020
210613134,Vi Samuel,Amercia,2001-06-16,2021
210802342,Sharla Wardrobe,Canada,2001-06-28,2021
212697165,Khachatur Varley,Amercia,2001-06-28,2021
213092761,Qiu Stafford,Russia,2001-07-10,2021
215511682,Damian Anthonyson,Canada,2001-09-03,2021
215651257,Izzy Romanov,Canada,2002-01-10,2021
215736928,Jefferson Mark,France,2002-04-02,2021
